diagnose,image_name,symmetry_x,symmetry_y,diameter,mean_red,mean_green,mean_blue,variance_red,variance_green,variance_blue
0.0,ISIC_0000000,28627,694475,115.45145416259766,22977.06011478227,21094.325475827634,22652.54819882624,135860245795.60037,114507867405.82082,132049963698.03864
0.0,ISIC_0000001,179258,305414,44.47892761230469,22019.38388420825,15338.748757831065,12301.910563836682,127813190387.25288,62022003365.396576,39894339898.88851
1.0,ISIC_0000002,815153,880799,101.40276336669922,33977.66643632774,28630.703652517273,29794.968805528133,298115938158.0125,211671554925.1023,229236967407.74323
0.0,ISIC_0000003,1111641,1687449,108.67430114746094,35496.7435029778,25539.073317090777,18992.28731275943,324528535336.9439,167991232192.9062,92903360338.30959
1.0,ISIC_0000004,688107,1027371,112.3855972290039,48038.9034162985,32812.83194085998,39616.05043523905,593737833654.5527,277010526412.1209,403785873211.91003
0.0,ISIC_0000006,60180,6692,59.5762939453125,31733.17087346397,27450.12919295915,25191.15061441382,263974453330.48303,197525920958.97644,166353451949.36246
0.0,ISIC_0000007,48774,159136,55.56987380981445,27920.73461012312,23384.061559507525,21666.663816689466,203320053887.3058,142615557032.15845,122436699929.09065
0.0,ISIC_0000008,819235,1091677,106.9206314086914,38580.72669215201,26119.48697998651,19733.298358443895,383947201207.0492,175978895669.81375,100445706314.85385
0.0,ISIC_0000009,1229321,1342627,92.5000991821289,35294.49606092437,25600.209427521007,20038.214285714286,322182679147.07196,169502327565.30286,103850150584.8758
0.0,ISIC_0000010,498501,774631,59.52530288696289,31330.47284522706,24910.0687673772,20743.60704355885,256620288497.74783,162221102614.3483,112493247488.12823
0.0,ISIC_0000011,330649,469927,73.07592010498047,36073.713290235915,27101.680295525144,21217.292670640585,337218136655.60504,190336460077.58206,116656785815.56657
0.0,ISIC_0000012,260038,244548,40.809417724609375,30933.742737346514,19401.936807427373,18154.095537586105,252137789565.40567,99188995473.88425,86840607414.6008
1.0,ISIC_0000013,511880,353252,89.79993438720703,21827.326575342464,15974.541856925418,13496.188493150685,123039330644.71936,65902233241.2553,47039845666.04046
0.0,ISIC_0000014,918290,659712,100.05696105957031,40665.370023292344,33611.89810952819,29062.40414928769,427165504260.32837,291831983658.44183,218177597356.60806
0.0,ISIC_0000015,256575,279911,86.44950866699219,38415.61498544488,27707.233957726872,22738.486077711685,382434166362.0828,198942728259.98834,133987982532.87604
0.0,ISIC_0000016,2196578,2659586,81.91645050048828,25236.446460980038,20906.383520871146,21449.16217785844,164576347592.9195,112945653645.87184,118886519854.91856
0.0,ISIC_0000017,15219,99439,71.83765411376953,32623.61033738721,21670.05766967438,16811.330031384856,276702295919.0305,122087052809.2744,73477470767.03123
0.0,ISIC_0000018,26070,136980,87.77965545654297,39219.80916864913,29768.824921237057,24855.062688870312,398286791684.45465,229460825434.26993,159961411497.1546
0.0,ISIC_0000019,1707949,1672349,93.49054718017578,35740.57782765231,24386.935194276895,20865.090101463506,328487665782.846,152936520716.32703,111953516324.57272
0.0,ISIC_0000020,1710909,2946127,107.48963165283203,38833.11164617919,23226.134330249653,20408.131605626666,390570355092.1655,139717098549.17987,107870465521.1046
0.0,ISIC_0000021,508911,959321,107.5512466430664,43049.386139202856,29767.74289113623,23190.149375371802,480854407604.6375,229917299677.53293,139536327773.65524
1.0,ISIC_0000022,1098182,1350922,107.70423126220703,39100.609990941724,30591.563424698896,27045.477639480658,392155779449.4717,240046476468.57584,187621207534.71783
0.0,ISIC_0000023,1721065,2156929,71.76924896240234,37064.45120286641,25892.53207643747,22532.438491724963,355347772515.0874,173415441604.84308,131327404645.55557
0.0,ISIC_0000024,886533,1295793,103.20499420166016,46293.052990603544,39921.1345319841,39751.025569208534,551061827445.0586,409802390868.46045,406317419926.9988
0.0,ISIC_0000025,714666,944100,82.18690490722656,49667.629412219045,25236.607322159573,25775.479338842975,642994352546.1202,166005482273.3105,173170549606.23325
1.0,ISIC_0000026,151062,460816,121.37398529052734,41493.810968197875,32615.816848056536,33092.443590106006,441125324262.1611,272553662888.4248,280577805366.6228
0.0,ISIC_0000027,511453,615135,87.64283752441406,38932.30505098789,29382.849824729125,24129.662842574886,393425822136.43536,224094247051.94067,151128268482.51886
0.0,ISIC_0000028,1176323,1162745,91.93077850341797,28466.831257507743,20736.40171966871,18386.51311879623,209566424297.81924,111201552229.64995,87426456257.39792
1.0,ISIC_0000029,185593,517259,113.6684799194336,24336.596583339866,14569.745709583889,12159.66950082282,152583783918.0606,54688214106.67557,38091959329.35566
1.0,ISIC_0000030,937824,1356562,124.6002426147461,39221.960259283944,28865.352941176472,34282.508632701276,394400531083.5481,213615721396.92282,301317577980.7437
1.0,ISIC_0000031,1440743,1331417,102.03840637207031,41358.63439372983,30127.75255878285,30818.939004149375,440044525980.6808,233506184134.91046,244343326706.22064
0.0,ISIC_0000032,1590676,2083596,102.78842163085938,41527.83703196347,31612.910776255707,28079.399543378997,443332960725.89655,256909723308.27103,202687723941.75034
0.0,ISIC_0000034,296312,76612,76.26023864746094,29049.93445761838,21162.823772000884,19422.7913690257,218709906541.91544,116071607339.4874,97769321197.94139
1.0,ISIC_0000035,156288,17716,108.78237915039062,33081.78334580717,30947.61065373727,36621.58696430315,281095166689.1565,245997086089.29367,344468955562.9832
1.0,ISIC_0000036,1353855,1072969,104.156005859375,31625.92363803893,29981.062118478138,35710.76308212078,256747180455.54263,230735107228.74338,327354295191.9819
0.0,ISIC_0000037,1059488,1531714,123.504150390625,30784.60575908867,29652.43882286759,34461.025420153295,244103022944.10614,226478804096.5442,305888727737.8264
0.0,ISIC_0000038,2010839,1686563,121.3647232055664,36510.54459170091,32244.702673765845,34059.49065339429,342442736706.9986,267096881785.26907,298008747215.7781
0.0,ISIC_0000039,631534,669062,79.19955444335938,23362.159403434358,19013.135595539443,19146.718204829995,141173485886.89667,93505108048.36746,94823645809.80911
1.0,ISIC_0000040,493645,463297,74.08238220214844,29893.37393972207,29774.3354990074,33916.96977079949,232799185544.9438,230948896605.1246,299685720058.7782
0.0,ISIC_0000041,489230,624844,54.45420837402344,21119.836210617177,18720.797151488994,19763.555243849805,117029595820.2734,91952508611.40657,102481424487.78563
0.0,ISIC_0000042,349631,440281,106.5578842163086,32966.50722232191,28646.970303247803,35882.5241790777,279576893711.9985,211112197199.68268,331224027267.6782
1.0,ISIC_0000043,1693277,1928465,113.86805725097656,33848.838357874636,23477.266551610177,19935.24881577498,294007586880.384,141438239297.10773,101980221820.2677
0.0,ISIC_0000044,223918,577122,116.69200134277344,39439.583202021706,26998.67813289728,21133.48788464397,399123636241.9531,187037376035.67,114600455033.56401
0.0,ISIC_0000045,881474,1402352,97.89034271240234,35112.73435588595,24800.627317210878,20912.6338571563,317809674416.0918,158549251323.52298,112734650184.90204
1.0,ISIC_0000046,676523,366739,109.6837387084961,33136.534632206756,33292.02791252485,38904.12107355865,283194807474.00903,285858906675.66077,390357569158.937
0.0,ISIC_0000047,635544,796620,93.0981674194336,34441.0896142796,26281.093648756036,24674.379790940766,306371718930.1275,178394945654.99805,157249353001.0248
0.0,ISIC_0000048,1203184,1963070,75.80247497558594,23094.617406749556,17306.686441681468,15507.701716992304,139055138356.97778,78089712807.92368,62699085602.432884
1.0,ISIC_0000049,940181,1344015,138.99111938476562,44229.990149487865,35086.45053981729,31655.921380455846,500633046680.9848,315039615758.8782,256446528813.28918
0.0,ISIC_0000050,383014,521168,90.36006164550781,45057.0572431771,34912.41692823323,33817.76762249295,522488179092.7547,313697333692.33466,294334362001.1354
0.0,ISIC_0000051,520130,600404,104.47138977050781,41023.388229084194,26532.285352335708,23412.844338875693,435714534841.5905,182258904583.8467,141921469058.36905
0.0,ISIC_0000052,601891,877103,133.18312072753906,52193.14070833436,35473.983901491876,32082.706515594662,698626917843.7157,322729652383.15173,263973968823.14056
0.0,ISIC_0000053,1678804,1870486,126.51347351074219,43478.59852202187,31566.69261010937,29219.284185634053,487096484200.42883,256757132913.20258,219990415834.13855
1.0,ISIC_0000054,1531641,1670699,85.05554962158203,37946.81225861822,27540.450722357316,22220.079959948504,372935101083.0661,196437807847.31546,127871779860.79326
0.0,ISIC_0000055,1499890,2402650,132.6142120361328,39718.66659491264,31536.80612061852,28466.428299788324,405132192080.124,255413063018.21472,208100872695.9055
1.0,ISIC_0000056,1640472,1876316,109.4796371459961,42767.92312355548,33179.11764483007,27695.757473572536,471587940810.16437,283828634205.2433,197766812531.29584
0.0,ISIC_0000057,2043369,2952455,85.0780029296875,44350.8989611389,24883.564832627933,21010.954213158904,508905051582.55164,160198172705.6631,114215371582.89966
