diagnose,image_name,symmetry_x,symmetry_y,diameter,mean_red,mean_green,mean_blue,variance_red,variance_green,variance_blue
0.0,ISIC_0000000,92658,643140,117.38687896728516,20830.634333416576,18403.035781812992,19502.652206485676,110398952696.19182,86166650321.13971,96771521624.71262
0.0,ISIC_0000001,214781,313185,55.754024505615234,24984.34274393264,19078.96268779924,16422.245831269607,159157073008.2109,92811221426.27524,68763307046.64944
1.0,ISIC_0000002,39890,79012,96.9356460571289,32425.44159779614,25786.717217630852,25787.334435261706,268890482869.66754,170057593918.71722,170065814843.2046
0.0,ISIC_0000003,957587,1466945,114.8462905883789,35446.84273511685,25783.624810302215,19381.2323201665,319115918219.40295,168842527778.71008,95401962491.00963
1.0,ISIC_0000004,427146,262066,97.30632019042969,49156.99072518805,30745.97305192434,36998.21982034616,619860124337.9138,242493359903.87955,351143798156.45416
0.0,ISIC_0000006,151029,70601,66.20310974121094,32025.345354439094,28776.892635925673,27392.656159669652,264333883580.7884,213428966550.49988,193390162914.41068
0.0,ISIC_0000007,14682,103464,63.415653228759766,28010.322462103813,24200.62762210994,23034.981626090954,200615131152.27753,149754982035.00284,135676420406.44318
0.0,ISIC_0000008,838234,1051484,111.01586151123047,38092.94721394583,25790.95677502557,19468.012540579,369559850386.16254,169406926934.11853,96525090760.7035
0.0,ISIC_0000009,1283471,1560575,101.64900207519531,35615.68839733863,26584.717579082528,21597.15588887592,323371473422.8938,180170459017.5618,118908589669.10497
0.0,ISIC_0000010,499380,829338,62.45621109008789,31434.983363236017,25595.918447235363,21859.552438427665,252522481095.71887,167423127746.57413,122111627325.80171
0.0,ISIC_0000011,71949,187251,82.37467956542969,36590.80353661932,28594.766290726817,23662.266081871345,341721692544.50116,208690233689.4045,142903325500.21188
0.0,ISIC_0000012,209308,109372,59.500099182128906,35385.68522619424,25786.987820310027,26009.696456817463,322899230145.45135,171480004796.64066,174454878577.74677
1.0,ISIC_0000013,562699,452389,95.69062042236328,21877.81250370722,16100.168515333056,13648.000474523993,121841324769.2798,65985449880.05463,47416092712.74464
0.0,ISIC_0000014,1022305,690829,106.00128173828125,40286.89812318804,33501.1135242358,29240.58720309242,413130013374.4906,285678577031.58636,217636462742.5435
